Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 10,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 32, 55296, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 32, 55424, 42, 56, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, d800, MSMC, DMA_ONCE, 33, 33, 32, 1152, 0, 29d200, 
 11,     Conv, 32, 40, 40, 64, 20, 20, 32, ROW_L, 42, 42, 1640, 1682, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 32, 55296, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, d8ea, ,,,,,,,, L2, DMA, 320, 289, 64, 20480, 0, d800, MSMC, DMA_ONCE, 320, 320, 64, 20480, 0, 256800, 
 12,     Conv, 64, 20, 20, 32, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 6a, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 7000, MSMC, DMA_ONCE, 192, 192, 32, 6144, 0, 297800, 
 13,     Conv, 64, 20, 20, 32, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 48ea, ,,,,,,,, L2, DMA, 192, 65, 32, 6144, 0, 7000, MSMC, DMA_ONCE, 192, 192, 32, 6144, 0, 294800, 
 14,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 32, 14336, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 916a, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, 3800, MSMC, DMA_ONCE, 33, 33, 32, 1152, 0, 29c900, 
 15,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 32, 18432, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 916a, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 4800, MSMC, DMA_ONCE, 320, 320, 32, 10240, 0, 28d000, 
 16,  EltWise, 64, 20, 20, 32, 20, 20, 64,  COL, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 32, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 48ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 17,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 32, 14336, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 916a, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, 3800, MSMC, DMA_ONCE, 33, 33, 32, 1152, 0, 29c480, 
 18,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 32, 18432, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 916a, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 4800, MSMC, DMA_ONCE, 320, 320, 32, 10240, 0, 28f800, 
 19,  EltWise, 64, 20, 20, 32, 20, 20, 64,  COL, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 32, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 48ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 20,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 32, 14336, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 916a, ,,,,,,,, L2, DMA, 33, 33, 32, 1152, 0, 3800, MSMC, DMA_ONCE, 33, 33, 32, 1152, 0, 29cd80, 
 21,     Conv, 32, 20, 20, 32, 20, 20, 32, ROW_L, 44, 64, 399, 463, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 32, 18432, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 916a, ,,,,,,,, L2, DMA, 320, 289, 32, 10240, 0, 4800, MSMC, DMA_ONCE, 320, 320, 32, 10240, 0, 28a800, 
 22,  EltWise, 64, 20, 20, 32, 20, 20, 64,  COL, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 32, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 32, 18560, 22, 48ea, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 23,   Concat, 64, 20, 20, 64, 20, 20, 64,  COL, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 64, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, 916a, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 24,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 64, 36992, 22, 6a, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 7000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 281800, 
 25,     Conv, 64, 20, 20, 128, 10, 10, 64, ROW_L, 22, 22, 420, 442, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 64, 28672, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, c174, ,,,,,,,, L2, DMA_ONCE, 704, 577, 128, 90112, 0, 52000, ,,,,,,,, 
 26,     Conv, 128, 10, 10, 64, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, 90f4, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 269800, 
 27,     Conv, 128, 10, 10, 64, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, c174, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 26f800, 
 28,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, f1f4, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 3000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 27e800, 
 29,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, f1f4, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1c1800, 
 30,  EltWise, 128, 10, 10, 64, 10, 10, 128,  COL, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, c174, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 31,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, f1f4, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 3000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 266800, 
 32,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, f1f4, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1ab800, 
 33,  EltWise, 128, 10, 10, 64, 10, 10, 128,  COL, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, c174, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 34,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, f1f4, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 3000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 26c800, 
 35,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, f1f4, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 1b6800, 
 36,  EltWise, 128, 10, 10, 64, 10, 10, 128,  COL, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, c174, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 37,   Concat, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, f1f4, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 38,     Conv, 128, 10, 10, 128, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, a6f4, ,,,,,,,, L2, DMA_ONCE, 192, 129, 128, 24576, 0, 68000, ,,,,,,,, 
 39,     Conv, 128, 10, 10, 256, 5, 5, 128, ROW_L, 12, 12, 110, 122, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 256, 11136, 7, 10779, ,,,,,,,, L2, DMA, 1216, 1153, 256, 311296, 0, 6000, MSMC, DMA_ONCE, 1216, 1216, 256, 311296, 0, 28800, 
 40,     Conv, 256, 5, 5, 128, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 90f9, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 128, 40960, 0, 202800, 
 41,     Pool, 128, 5, 5, 128, 5, 5, 128,  COL, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 10779, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 42,     Pool, 128, 5, 5, 128, 5, 5, 128,  COL, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 10779, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43,     Pool, 128, 5, 5, 128, 5, 5, 128,  COL, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 11d79, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 44,     Pool, 128, 5, 5, 128, 5, 5, 128,  COL, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 11d79, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45,     Pool, 128, 5, 5, 128, 5, 5, 128,  COL, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 13379, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46,     Pool, 128, 5, 5, 128, 5, 5, 128,  COL, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 13379, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 47,   Concat, 512, 5, 5, 512, 5, 5, 512,  COL, 0, 0, 30, 30, 4, 1, 4,,,,,,,,, L2, DMA, 43, 43, 256, 11008, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 512, 22144, 7, 14979, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 48,     Conv, 512, 5, 5, 256, 5, 5, 512, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 512, 15360, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 256, 11136, 7, 10779, ,,,,,,,, L2, DMA, 576, 513, 256, 147456, 0, 3c00, MSMC, DMA_ONCE, 576, 576, 256, 147456, 0, e6800, 
 49,     Conv, 256, 5, 5, 128, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 90f9, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 128, 40960, 0, 20c800, 
 50,     Conv, 256, 5, 5, 128, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 10779, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 128, 40960, 0, 1f8800, 
 51,     Conv, 128, 5, 5, 128, 5, 5, 128, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 128, 3840, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 10779, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, f00, MSMC, DMA_ONCE, 192, 192, 128, 24576, 0, 234800, 
 52,     Conv, 128, 5, 5, 128, 5, 5, 128, ROW_L, 0, 0, 43, 43, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 128, 5504, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 10779, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 1580, MSMC, DMA_ONCE, 1216, 1216, 128, 155648, 0, 74800, 
 53,   Concat, 256, 5, 5, 256, 5, 5, 256,  COL, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 43, 43, 256, 11008, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 256, 11136, 7, 11d79, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 54,     Conv, 256, 5, 5, 256, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 256, 11136, 7, 107a3, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 256, 81920, 0, 10a800, 
 55,     Conv, 256, 5, 5, 128, 5, 5, 256, ROW_L, 0, 0, 30, 30, 1, 1, 1,,,,,,,,, L2, DMA, 30, 30, 256, 7680, 0, 0, ,,,,,,,, MSMC, CPU, 43, 43, 128, 5632, 7, 90f9, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 1e00, MSMC, DMA_ONCE, 320, 320, 128, 40960, 0, 216800, 
 56,   Resize, 128, 5, 5, 128, 10, 10, 128,  COL, 0, 0, 49, 43, 1, 1, 1,,,,,,,,, L2, DMA, 49, 49, 128, 6272, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, 10774, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 57,   Concat, 256, 10, 10, 256, 10, 10, 256,  COL, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 256, 49280, 12, 167f4, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 58,     Conv, 256, 10, 10, 64, 10, 10, 256, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, a6f4, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, c000, MSMC, DMA_ONCE, 320, 320, 64, 20480, 0, 24c800, 
 59,     Conv, 256, 10, 10, 64, 10, 10, 256, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, d774, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, c000, MSMC, DMA_ONCE, 320, 320, 64, 20480, 0, 251800, 
 60,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, d774, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 3000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 272800, 
 61,     Conv, 64, 10, 10, 64, 10, 10, 64, ROW_L, 24, 64, 69, 133, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 64, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, d774, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 3000, MSMC, DMA_ONCE, 704, 704, 64, 45056, 0, 132800, 
 62,   Concat, 128, 10, 10, 128, 10, 10, 128,  COL, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, 107f4, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 63,     Conv, 128, 10, 10, 128, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 128, 24704, 12, a6f4, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 6000, MSMC, DMA_ONCE, 192, 192, 128, 24576, 0, 23a800, 
 64,     Conv, 128, 10, 10, 64, 10, 10, 128, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24576, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 64, 12416, 12, a6f4, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6000, MSMC, DMA_ONCE, 192, 192, 64, 12288, 0, 287800, 
