Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 3, 160, 160, 3, 160, 160, 3, FRAME, 0, 0, 25600, 25600, 1, 1, 1,,,,,,,,, L2, DMA, 25600, 25600, 2, 51200, 0, 0, ,,,,,,,, DDR, CPU, 26084, 26083, 3, 79360, 162, 2232de, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1,     Conv, 3, 160, 160, 12, 80, 80, 3, ROW_L, 162, 162, 25760, 25922, 1, 1, 1,,,,,,,,, L2, DMA, 26048, 26048, 3, 78208, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 12, 80768, 82, 2e, ,,,,,,,, L2, DMA, 28, 28, 12, 384, 0, 13180, MSMC, DMA_ONCE, 28, 28, 12, 384, 0, 29e180, 
 2,     Conv, 12, 80, 80, 16, 80, 80, 12, ROW_L, 164, 192, 6451, 6643, 1, 1, 1,,,,,,,,, L2, DMA, 6720, 6720, 12, 80640, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 16, 107648, 82, 2e, ,,,,,,,, L2, DMA, 192, 109, 16, 3072, 0, 13b00, MSMC, DMA_ONCE, 192, 192, 16, 3072, 0, 29b400, 
 3,     Conv, 16, 80, 80, 32, 40, 40, 16, ROW_L, 82, 82, 6480, 6562, 1, 1, 1,,,,,,,,, L2, DMA, 6592, 6592, 16, 105472, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 32, 55424, 42, 1a4d6, ,,,,,,,, L2, DMA, 192, 145, 32, 6144, 0, 19c00, MSMC, DMA_ONCE, 192, 192, 32, 6144, 0, 296000, 
 4,     Conv, 32, 40, 40, 16, 40, 40, 32, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 32, 55296, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 16, 27776, 42, 56, ,,,,,,,, L2, DMA, 33, 33, 16, 640, 0, d800, MSMC, DMA_ONCE, 33, 33, 16, 640, 0, 29dc80, 
 5,     Conv, 32, 40, 40, 16, 40, 40, 32, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 32, 55296, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 16, 27776, 42, 6cd6, ,,,,,,,, L2, DMA, 33, 33, 16, 640, 0, d800, MSMC, DMA_ONCE, 33, 33, 16, 640, 0, 29df00, 
 6,     Conv, 16, 40, 40, 16, 40, 40, 16, ROW_L, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 16, 27648, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 16, 27776, 42, d956, ,,,,,,,, L2, DMA, 17, 17, 16, 384, 0, 6c00, MSMC, DMA_ONCE, 17, 17, 16, 384, 0, 29e300, 
 7,     Conv, 16, 40, 40, 16, 40, 40, 16, ROW_L, 84, 128, 1595, 1723, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 16, 27648, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 16, 27776, 42, d956, ,,,,,,,, L2, DMA, 192, 145, 16, 3072, 0, 6c00, MSMC, DMA_ONCE, 192, 192, 16, 3072, 0, 29a800, 
 8,  EltWise, 32, 40, 40, 16, 40, 40, 32,  COL, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 16, 55296, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 16, 27776, 42, 6cd6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9,   Concat, 32, 40, 40, 32, 40, 40, 32,  COL, 0, 0, 1640, 1640, 1, 1, 1,,,,,,,,, L2, DMA, 1728, 1728, 32, 55296, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 32, 55424, 42, d956, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
